,is_label_issue,label_quality,given_label,predicted_label,newidx
0,True,0.5002644658088684,1,0,4330
1,True,0.1798645704984665,0,1,20487
2,False,0.6343304514884949,1,1,7764
3,False,0.7532317638397217,1,1,7190
4,True,0.053113121539354324,0,1,23978
5,True,0.10051329433917999,0,1,22128
6,False,0.5772871971130371,1,1,6286
7,False,0.5094902515411377,1,1,152
8,True,0.30668550729751587,0,1,24716
9,False,0.8925718665122986,0,0,16164
10,True,0.1529948115348816,0,1,24402
11,False,0.7941680550575256,1,1,7586
12,False,0.39409828186035156,0,1,15399
13,False,0.6063240766525269,1,1,1584
14,False,0.40820226073265076,0,1,17339
15,False,0.5009199976921082,1,1,10176
16,True,0.4088183045387268,1,0,2243
17,False,0.6922149062156677,1,1,1012
18,False,0.5402080416679382,1,1,9391
19,False,0.7678831219673157,1,1,2240
20,False,0.5002571940422058,0,0,26674
21,True,0.2797341048717499,0,1,24708
22,False,0.8693084120750427,1,1,9296
23,True,0.0025323298759758472,1,0,1560
24,True,0.2796049118041992,0,1,25121
25,True,0.26279914379119873,0,1,18484
26,False,0.7262228727340698,1,1,6388
27,False,0.37263888120651245,0,1,19307
28,True,0.28164705634117126,0,1,14285
29,False,0.8016876578330994,1,1,8257
30,False,0.8770691156387329,1,1,1059
31,False,0.6514744758605957,1,1,4799
32,True,0.15496380627155304,0,1,20702
33,False,0.7804223895072937,1,1,1943
34,False,0.6900665760040283,0,0,18322
35,False,0.5845538973808289,1,1,9963
36,True,0.3458074629306793,0,1,18853
37,False,0.613663375377655,1,1,9097
38,False,0.6348329186439514,1,1,3694
39,False,0.7430351376533508,1,1,5756
40,True,0.23878128826618195,0,1,24028
41,True,0.18982498347759247,0,1,23270
42,False,0.9109315276145935,1,1,5990
43,False,0.6227919459342957,1,1,5793
44,False,0.6702428460121155,1,1,10702
45,False,0.8362718820571899,0,0,16517
46,False,0.8583642244338989,1,1,11042
47,True,0.39781421422958374,1,0,7402
48,False,0.9370474219322205,1,1,4606
49,False,0.3958927094936371,0,1,20192
50,False,0.7780000567436218,1,1,4470
51,False,0.8474868535995483,1,1,10392
52,False,0.8614168167114258,1,1,3025
53,False,0.49684861302375793,1,1,6253
54,False,0.8007884621620178,1,1,3691
55,False,0.37241238355636597,0,1,11778
56,False,0.5915358662605286,1,1,4460
57,True,0.2556038498878479,1,0,7009
58,False,0.515514612197876,1,1,1378
59,False,0.7849472761154175,1,1,6882
60,False,0.8209438920021057,0,0,17312
61,False,0.7649838328361511,1,1,3346
62,True,0.09891931712627411,0,1,13381
63,False,0.6613514423370361,0,0,18101
64,True,0.4528638422489166,1,0,6185
65,False,0.9826136231422424,1,1,7341
66,True,0.2930472493171692,0,1,12416
67,False,0.8971737027168274,0,0,16963
68,False,0.8704308271408081,1,1,3607
69,False,0.9461947679519653,0,0,16586
70,False,0.6268924474716187,1,1,6611
71,False,0.4153987765312195,0,1,19444
72,False,0.9839192032814026,1,1,190
73,False,0.6096834540367126,0,0,23280
74,False,0.8160027861595154,1,1,640
75,False,0.7238786220550537,1,1,682
76,True,0.1627347469329834,0,1,26207
77,False,0.7988495230674744,1,1,3933
78,False,0.7277262210845947,0,0,22850
79,True,0.12022428214550018,0,1,25462
80,False,0.6615301370620728,1,1,3989
81,False,0.5626481175422668,1,1,3415
82,True,0.14843551814556122,0,1,11880
83,False,0.6247614026069641,1,1,354
