,is_label_issue,label_quality,given_label,predicted_label,newidx
0,False,0.9653439521789551,1,1,4280
1,False,0.7680341601371765,1,1,7473
2,True,0.28700536489486694,1,0,6269
3,False,0.5408614277839661,1,1,9780
4,True,0.08892257511615753,0,1,13074
5,True,0.2541506588459015,1,0,1850
6,False,0.8045762181282043,1,1,5047
7,False,0.7439606785774231,1,1,5633
8,False,0.7107846736907959,1,1,7168
9,False,0.9673612117767334,0,0,15747
10,True,0.4173688590526581,1,0,2345
11,True,0.17543424665927887,0,1,19432
12,False,0.43931838870048523,0,1,23119
13,True,0.2648593783378601,0,1,24869
14,True,0.09470175206661224,0,1,11185
15,False,0.8240717649459839,0,0,11346
16,False,0.6472221612930298,0,0,23021
17,False,0.6154337525367737,1,1,7740
18,True,0.1801607310771942,0,1,20817
19,False,0.8332467079162598,0,0,16526
20,True,0.3038376569747925,0,1,21963
21,False,0.5039235949516296,1,1,6651
22,False,0.8104838132858276,1,1,2373
23,True,0.40667101740837097,1,0,4995
24,False,0.9471935033798218,1,1,6303
25,False,0.42057663202285767,0,1,23762
26,False,0.8397222757339478,1,1,7785
27,False,0.9782708287239075,1,1,11013
28,False,0.9369990825653076,0,0,25840
29,False,0.8486236929893494,1,1,6477
30,False,0.5310630798339844,1,1,5844
31,False,0.8077647686004639,1,1,6007
32,False,0.5116401314735413,0,0,23293
33,False,0.5628722310066223,0,0,14268
34,True,0.37425851821899414,0,1,26262
35,True,0.30161961913108826,0,1,21538
36,False,0.5773152112960815,0,0,26155
37,True,0.06706796586513519,0,1,21140
38,True,0.18874910473823547,0,1,16611
39,True,0.21057192981243134,0,1,12625
40,False,0.6742557287216187,0,0,17297
41,False,0.8046785593032837,1,1,913
42,False,0.6412708759307861,1,1,10377
43,False,0.5828766226768494,1,1,5268
44,True,0.45564210414886475,1,0,4433
45,True,0.1658477485179901,1,0,886
46,True,0.11103931069374084,0,1,23344
47,True,0.17086023092269897,0,1,24649
48,False,0.8473639488220215,1,1,3353
49,False,0.8517686128616333,1,1,1610
50,False,0.9812192320823669,0,0,21759
51,False,0.6835783123970032,1,1,445
52,False,0.6203693747520447,0,0,13258
53,True,0.2900350093841553,0,1,12926
54,True,0.09090075641870499,0,1,12605
55,True,0.42281582951545715,1,0,10176
56,False,0.6709327697753906,1,1,4403
57,False,0.5948755145072937,1,1,10901
58,True,0.24357573688030243,0,1,22211
59,True,0.45101720094680786,1,0,2506
60,False,0.7108657956123352,0,0,16179
61,True,0.36465612053871155,0,1,22652
62,False,0.5526964664459229,0,0,14622
63,False,0.5034151077270508,1,1,7069
64,True,0.31479373574256897,1,0,7888
65,False,0.8700051307678223,1,1,1595
66,False,0.47002601623535156,0,1,11598
67,False,0.9797161817550659,0,0,16274
68,False,0.9247075915336609,1,1,10808
69,False,0.4971560835838318,0,1,12432
70,False,0.5585610866546631,1,1,3329
71,False,0.5619136691093445,0,0,18512
72,False,0.7253737449645996,0,0,20038
73,True,0.26988154649734497,0,1,15339
74,False,0.5741777420043945,1,1,6701
75,True,0.32542744278907776,1,0,4555
76,False,0.6626827716827393,0,0,15168
77,False,0.6270048022270203,0,0,23247
78,False,0.9133950471878052,1,1,560
79,True,0.27544352412223816,0,1,23457
80,False,0.9896815419197083,1,1,6886
81,False,0.8949282169342041,1,1,2082
82,False,0.6665242910385132,1,1,2384
83,False,0.513489842414856,0,0,19979
84,True,0.34942057728767395,0,1,23171
85,False,0.9149659276008606,1,1,10078
86,False,0.7959796190261841,1,1,3934
87,False,0.8805356025695801,0,0,16663
88,True,0.2281934916973114,0,1,20507
89,True,0.05728079751133919,0,1,21343
90,False,0.8389302492141724,1,1,9965
91,False,0.7924628257751465,1,1,10444
92,False,0.9218825697898865,1,1,2533
93,False,0.6134532690048218,1,1,1930
94,False,0.891627848148346,1,1,4418
95,False,0.7025580406188965,0,0,12859
96,False,0.9447291493415833,1,1,6780
97,False,0.5878275036811829,1,1,3193
98,True,0.14080241322517395,0,1,18794
99,False,0.6772050261497498,1,1,4944
100,False,0.9387251138687134,1,1,9791
101,False,0.8349335193634033,0,0,16993
102,False,0.7581372857093811,1,1,2215
103,False,0.4417235553264618,0,1,14173
104,False,0.7803017497062683,1,1,5823
105,False,0.9919805526733398,0,0,15599
106,False,0.6405430436134338,1,1,6695
107,False,0.888802707195282,0,0,17884
108,False,0.4186556339263916,0,1,23839
109,True,0.3202684819698334,0,1,21582
110,False,0.796746551990509,0,0,11963
111,False,0.9040722846984863,1,1,7350
112,True,0.18303917348384857,0,1,21513
113,False,0.5229899883270264,1,1,1272
114,False,0.9354926943778992,0,0,15589
115,False,0.5404451489448547,0,0,13572
116,True,0.34717780351638794,0,1,17656
117,False,0.8980909585952759,1,1,6332
118,False,0.640863835811615,1,1,8406
119,False,0.676998496055603,0,0,16635
120,True,0.282905638217926,0,1,18386
121,False,0.9918326139450073,0,0,15566
122,True,0.06294281780719757,0,1,23017
123,True,0.13589917123317719,0,1,18227
124,True,0.2141181081533432,1,0,7402
125,True,0.4955081343650818,1,0,10063
126,False,0.7946493029594421,1,1,8653
127,False,0.98964524269104,1,1,9291
128,False,0.7226314544677734,1,1,8154
129,True,0.26081129908561707,0,1,22759
130,False,0.7726982235908508,0,0,14802
131,True,0.17149490118026733,0,1,19501
132,True,0.17433065176010132,1,0,8584
133,True,0.17729918658733368,1,0,4824
134,True,0.0655650794506073,0,1,21064
135,True,0.47009149193763733,1,0,3933
